,Comcd,Enddt,QVal,,Year10,Year11,Year12,Year13
1,c000002,2003,1.283281,,0,0,0,0
2,c000002,2004,1.261743,,0,0,0,0
3,c000002,2005,1.255773,,0,0,0,0
4,c000002,2006,1.838563,,0,0,0,0
5,c000002,2007,2.434929,,0,0,0,0
6,c000002,2008,1.159618,,0,0,0,0
7,c000002,2009,1.423497,,0,0,0,0
8,c000002,2010,1.062659,,1,0,0,0
9,c000002,2011,0.918478,,0,1,0,0
10,c000002,2012,0.962047,,0,0,1,0
11,c000002,2013,0.838335,,0,0,0,1
12,c000004,2003,2.067855,,0,0,0,0
13,c000004,2004,1.902673,,0,0,0,0
14,c000004,2005,1.601476,,0,0,0,0
15,c000004,2006,1.38969,,0,0,0,0
16,c000004,2007,4.164337,,0,0,0,0
17,c000004,2008,1.844828,,0,0,0,0
18,c000004,2009,3.557994,,0,0,0,0
19,c000004,2010,5.569061,,1,0,0,0
20,c000004,2011,3.535827,,0,1,0,0
21,c000004,2012,3.690694,,0,0,1,0
22,c000004,2013,4.240987,,0,0,0,1
23,c000005,2003,1.246659,,0,0,0,0
24,c000005,2004,1.144708,,0,0,0,0
25,c000005,2005,1.108382,,0,0,0,0
26,c000005,2006,1.534103,,0,0,0,0
27,c000005,2007,3.966859,,0,0,0,0
28,c000005,2008,1.592217,,0,0,0,0
29,c000005,2009,4.38457,,0,0,0,0
30,c000005,2010,2.804391,,1,0,0,0
31,c000005,2011,2.897555,,0,1,0,0
32,c000005,2012,2.28999,,0,0,1,0
33,c000005,2013,2.201784,,0,0,0,1
34,c000006,2003,0.877775,,0,0,0,0
35,c000006,2004,0.792649,,0,0,0,0
36,c000006,2005,0.861527,,0,0,0,0
37,c000006,2006,1.44949,,0,0,0,0
38,c000006,2007,1.682695,,0,0,0,0
39,c000006,2008,1.057754,,0,0,0,0
40,c000006,2009,1.394444,,0,0,0,0
41,c000006,2010,1.226972,,1,0,0,0
42,c000006,2011,1.014695,,0,1,0,0
43,c000006,2012,1.180188,,0,0,1,0
44,c000006,2013,1.15956,,0,0,0,1
45,c000007,2003,1.039225,,0,0,0,0
46,c000007,2004,1.071827,,0,0,0,0
47,c000007,2005,1.070965,,0,0,0,0
53,c000007,2011,3.583472,,0,1,0,0
54,c000007,2012,3.95166,,0,0,1,0
55,c000007,2013,4.25777,,0,0,0,1
56,c000008,2003,4.407312,,0,0,0,0
57,c000008,2004,3.810073,,0,0,0,0
58,c000008,2005,2.291888,,0,0,0,0
59,c000008,2006,2.711184,,0,0,0,0
60,c000008,2007,8.414148,,0,0,0,0
61,c000008,2008,3.191555,,0,0,0,0
62,c000008,2009,8.28917,,0,0,0,0
63,c000008,2010,11.329385,,1,0,0,0
64,c000008,2011,6.663208,,0,1,0,0
65,c000008,2012,1.36599,,0,0,1,0
66,c000008,2013,2.182536,,0,0,0,1
67,c000009,2003,1.249086,,0,0,0,0
68,c000009,2003,1.249086,,0,0,0,0
69,c000009,2004,1.017014,,0,0,0,0
70,c000009,2004,1.017014,,0,0,0,0
71,c000009,2005,0.886425,,0,0,0,0
72,c000009,2005,0.886425,,0,0,0,0
73,c000009,2006,1.016804,,0,0,0,0
74,c000009,2006,1.016804,,0,0,0,0
75,c000009,2007,2.157221,,0,0,0,0
76,c000009,2007,2.157221,,0,0,0,0
77,c000009,2008,1.0469,,0,0,0,0
78,c000009,2008,1.0469,,0,0,0,0
79,c000009,2009,1.948664,,0,0,0,0
80,c000009,2010,2.305939,,1,0,0,0
81,c000009,2011,1.534013,,0,1,0,0
82,c000009,2013,1.392467,,0,0,0,1
83,c000010,2003,1.028906,,0,0,0,0
84,c000010,2004,0.920291,,0,0,0,0
85,c000010,2005,1.31664,,0,0,0,0
86,c000010,2006,1.99925,,0,0,0,0
87,c000010,2007,4.222073,,0,0,0,0
88,c000010,2008,2.286541,,0,0,0,0
89,c000010,2009,4.059378,,0,0,0,0
90,c000010,2010,5.203039,,1,0,0,0
91,c000010,2011,4.683543,,0,1,0,0
92,c000010,2011,4.683543,,0,1,0,0
93,c000010,2012,5.712898,,0,0,1,0
94,c000010,2012,5.712898,,0,0,1,0
95,c000010,2013,2.228231,,0,0,0,1
96,c000011,2003,1.081428,,0,0,0,0
97,c000011,2004,1.026364,,0,0,0,0
98,c000011,2005,1.148485,,0,0,0,0
99,c000011,2006,1.252495,,0,0,0,0
100,c000011,2007,1.574069,,0,0,0,0
101,c000011,2008,0.973293,,0,0,0,0
102,c000011,2009,1.395096,,0,0,0,0
103,c000011,2010,1.148357,,1,0,0,0
104,c000011,2011,0.902614,,0,1,0,0
105,c000011,2012,0.713372,,0,0,1,0
106,c000011,2013,0.710348,,0,0,0,1
107,c000012,2003,1.223463,,0,0,0,0
108,c000012,2004,1.173653,,0,0,0,0
109,c000012,2005,1.023076,,0,0,0,0
110,c000012,2006,1.506837,,0,0,0,0
111,c000012,2007,2.068327,,0,0,0,0
112,c000012,2008,1.175678,,0,0,0,0
113,c000012,2009,1.878138,,0,0,0,0
114,c000012,2010,3.022289,,1,0,0,0
115,c000012,2011,1.422905,,0,1,0,0
116,c000012,2013,1.332731,,0,0,0,1
118,c000014,2003,1.169823,,0,0,0,0
119,c000014,2004,1.017322,,0,0,0,0
120,c000014,2005,1.021633,,0,0,0,0
121,c000014,2006,1.317634,,0,0,0,0
122,c000014,2007,2.414321,,0,0,0,0
123,c000014,2008,1.395242,,0,0,0,0
124,c000014,2009,2.417703,,0,0,0,0
125,c000014,2010,1.670875,,1,0,0,0
126,c000014,2011,1.072227,,0,1,0,0
127,c000014,2012,1.384775,,0,0,1,0
128,c000014,2013,1.51928,,0,0,0,1
129,c000016,2003,0.957198,,0,0,0,0
130,c000016,2004,0.89984,,0,0,0,0
131,c000016,2005,0.81517,,0,0,0,0
132,c000016,2006,0.852845,,0,0,0,0
133,c000016,2007,0.959007,,0,0,0,0
134,c000016,2008,0.849087,,0,0,0,0
135,c000016,2009,1.123567,,0,0,0,0
136,c000016,2010,0.969175,,1,0,0,0
137,c000016,2011,0.855736,,0,1,0,0
138,c000016,2012,0.816633,,0,0,1,0
139,c000016,2013,0.827676,,0,0,0,1
150,c000017,2013,11.001788,,0,0,0,1
151,c000018,2003,1.678054,,0,0,0,0
152,c000018,2004,1.190331,,0,0,0,0
153,c000018,2005,1.021881,,0,0,0,0
154,c000018,2006,1.272841,,0,0,0,0
155,c000018,2007,2.941559,,0,0,0,0
156,c000018,2008,1.782868,,0,0,0,0
157,c000018,2009,5.459521,,0,0,0,0
158,c000018,2010,5.219649,,1,0,0,0
159,c000018,2011,3.520522,,0,1,0,0
160,c000018,2012,4.948235,,0,0,1,0
161,c000018,2013,7.128178,,0,0,0,1
162,c000019,2003,1.477384,,0,0,0,0
163,c000019,2004,1.349068,,0,0,0,0
164,c000019,2005,1.257316,,0,0,0,0
165,c000019,2006,1.424369,,0,0,0,0
166,c000019,2007,4.328312,,0,0,0,0
167,c000019,2008,1.328201,,0,0,0,0
168,c000019,2009,2.020773,,0,0,0,0
169,c000019,2010,2.854405,,1,0,0,0
170,c000019,2011,1.474577,,0,1,0,0
171,c000019,2012,1.538787,,0,0,1,0
172,c000019,2013,1.290999,,0,0,0,1
173,c000020,2003,2.056319,,0,0,0,0
174,c000020,2004,1.417876,,0,0,0,0
175,c000020,2005,1.380582,,0,0,0,0
176,c000020,2006,1.738904,,0,0,0,0
177,c000020,2007,2.672956,,0,0,0,0
178,c000020,2008,1.129558,,0,0,0,0
179,c000020,2009,2.060529,,0,0,0,0
180,c000020,2010,2.096313,,1,0,0,0
181,c000020,2011,1.511396,,0,1,0,0
182,c000020,2012,1.502753,,0,0,1,0
183,c000020,2013,1.538935,,0,0,0,1
184,c000021,2003,1.320546,,0,0,0,0
185,c000021,2004,1.266493,,0,0,0,0
186,c000021,2005,1.164701,,0,0,0,0
187,c000021,2006,1.346413,,0,0,0,0
188,c000021,2007,1.863847,,0,0,0,0
189,c000021,2008,0.969046,,0,0,0,0
190,c000021,2009,2.313527,,0,0,0,0
191,c000021,2010,2.605781,,1,0,0,0
192,c000021,2011,1.210675,,0,1,0,0
193,c000021,2012,1.17469,,0,0,1,0
194,c000021,2013,1.16149,,0,0,0,1
195,c000022,2003,1.38544,,0,0,0,0
196,c000022,2004,1.539698,,0,0,0,0
197,c000022,2005,1.270296,,0,0,0,0
198,c000022,2006,1.578953,,0,0,0,0
199,c000022,2007,1.648701,,0,0,0,0
200,c000022,2008,1.002238,,0,0,0,0
201,c000022,2009,1.947528,,0,0,0,0
202,c000022,2010,1.710834,,1,0,0,0
203,c000022,2011,1.130747,,0,1,0,0
204,c000022,2012,1.241257,,0,0,1,0
205,c000022,2013,1.596952,,0,0,0,1
206,c000023,2003,1.161448,,0,0,0,0
207,c000023,2004,1.057241,,0,0,0,0
208,c000023,2005,1.008128,,0,0,0,0
209,c000023,2006,1.077111,,0,0,0,0
210,c000023,2007,1.571152,,0,0,0,0
211,c000023,2008,0.994423,,0,0,0,0
212,c000023,2009,1.553589,,0,0,0,0
213,c000023,2010,1.546289,,1,0,0,0
214,c000023,2011,1.210783,,0,1,0,0
215,c000023,2012,1.15467,,0,0,1,0
216,c000023,2013,1.422911,,0,0,0,1
217,c000024,2003,0.811722,,0,0,0,0
218,c000024,2004,0.767521,,0,0,0,0
219,c000024,2005,0.919572,,0,0,0,0
220,c000024,2006,1.427812,,0,0,0,0
221,c000024,2007,1.616746,,0,0,0,0
222,c000024,2008,0.93645,,0,0,0,0
223,c000024,2009,1.068838,,0,0,0,0
224,c000024,2010,0.904789,,1,0,0,0
225,c000024,2011,0.89188,,0,1,0,0
226,c000024,2012,0.844957,,0,0,1,0
227,c000024,2013,0.750816,,0,0,0,1
228,c000025,2003,1.012888,,0,0,0,0
229,c000025,2004,0.885115,,0,0,0,0
230,c000025,2005,0.864313,,0,0,0,0
231,c000025,2006,0.960803,,0,0,0,0
232,c000025,2007,1.749415,,0,0,0,0
233,c000025,2008,0.995991,,0,0,0,0
234,c000025,2009,3.984588,,0,0,0,0
235,c000025,2010,3.449823,,1,0,0,0
236,c000025,2011,2.365078,,0,1,0,0
237,c000025,2012,2.312064,,0,0,1,0
238,c000025,2013,2.93278,,0,0,0,1
239,c000026,2003,1.487658,,0,0,0,0
240,c000026,2004,0.884485,,0,0,0,0
241,c000026,2005,0.65761,,0,0,0,0
242,c000026,2006,1.013739,,0,0,0,0
243,c000026,2007,2.274629,,0,0,0,0
244,c000026,2008,1.072355,,0,0,0,0
245,c000026,2009,1.599512,,0,0,0,0
246,c000026,2010,1.525129,,1,0,0,0
247,c000026,2011,1.448784,,0,1,0,0
248,c000026,2012,1.018713,,0,0,1,0
249,c000026,2013,1.304872,,0,0,0,1
250,c000027,2003,0.91118,,0,0,0,0
251,c000027,2004,0.811679,,0,0,0,0
252,c000027,2005,0.770454,,0,0,0,0
253,c000027,2006,0.85673,,0,0,0,0
254,c000027,2007,1.307079,,0,0,0,0
255,c000027,2008,0.890317,,0,0,0,0
256,c000027,2009,0.94208,,0,0,0,0
257,c000027,2010,0.874648,,1,0,0,0
258,c000027,2011,0.917941,,0,1,0,0
259,c000027,2012,0.872245,,0,0,1,0
260,c000027,2013,0.513408,,0,0,0,1
261,c000028,2003,1.207554,,0,0,0,0
262,c000028,2004,1.146438,,0,0,0,0
263,c000028,2005,0.947543,,0,0,0,0
264,c000028,2006,1.087395,,0,0,0,0
265,c000028,2007,1.782553,,0,0,0,0
266,c000028,2008,1.517473,,0,0,0,0
267,c000028,2009,2.154654,,0,0,0,0
268,c000028,2010,2.13141,,1,0,0,0
269,c000028,2011,1.473811,,0,1,0,0
270,c000028,2012,1.74201,,0,0,1,0
271,c000028,2013,1.839194,,0,0,0,1
272,c000029,2003,1.153458,,0,0,0,0
