date	深证	上证
2013-12-31	0.015312	0.008796
2013-12-30	-0.006157	-0.001771
2013-12-27	0.019187	0.01358
2013-12-26	-0.024584	-0.015788
2013-12-25	0.008588	0.006426
2013-12-24	0.004746	0.00153
2013-12-23	0.002861	0.002357
2013-12-20	-0.022213	-0.020208
2013-12-19	-0.010834	-0.009539
2013-12-18	0.002863	-0.001299
2013-12-17	-0.00716	-0.004527
2013-12-16	-0.018642	-0.016035
2013-12-13	0.003472	-0.003051
2013-12-12	-0.001088	-0.000622
2013-12-11	-0.016878	-0.014894
2013-12-10	0.004049	-0.000316
2013-12-09	-0.000822	0.000488
2013-12-06	-0.003984	-0.00443
2013-12-05	-0.004654	-0.002087
2013-12-04	0.012752	0.013089
2013-12-03	0.013834	0.006931
2013-12-02	-0.019428	-0.005914
2013-11-29	-0.000674	0.00051
2013-11-28	0.011946	0.008315
2013-11-27	0.009815	0.008244
2013-11-26	-0.001695	-0.001392
2013-11-25	-0.004017	-0.004673
2013-11-22	-0.006926	-0.004256
2013-11-21	-0.004542	-0.000384
2013-11-20	0.005847	0.00615
2013-11-19	-0.007338	-0.001863
2013-11-18	0.026228	0.028744
2013-11-15	0.018313	0.016815
2013-11-14	0.005615	0.006018
2013-11-13	-0.020329	-0.018258
2013-11-12	0.013544	0.008202
2013-11-11	0.001628	0.001588
2013-11-08	-0.010298	-0.010929
2013-11-07	-0.005744	-0.004771
2013-11-06	-0.019389	-0.008174
2013-11-05	0.004134	0.003538
2013-11-04	-0.004116	0.000033
2013-11-01	0.000866	0.003711
2013-10-31	-0.012739	-0.008725
2013-10-30	0.018389	0.014843
2013-10-29	0.007466	-0.002346
2013-10-28	-0.005123	0.000429
2013-10-25	-0.012598	-0.014493
2013-10-24	-0.003105	-0.008605
2013-10-23	-0.012376	-0.01246
2013-10-22	-0.013717	-0.008337
2013-10-21	0.018015	0.016163
2013-10-18	0.007472	0.002393
2013-10-17	-0.002536	-0.002067
2013-10-16	-0.0181	-0.018061
2013-10-15	-0.006821	-0.001949
2013-10-14	0.002532	0.004321
2013-10-11	0.006007	0.016987
2013-10-10	0.002079	-0.009422
2013-10-09	-0.001585	0.006173
2013-10-08	0.019609	0.010822
2013-09-30	0.00499	0.006777
2013-09-27	0.00389	0.001957
2013-09-26	-0.020229	-0.019425
2013-09-25	-0.005896	-0.004084
2013-09-24	-0.006249	-0.006084
2013-09-23	0.028128	0.013319
2013-09-18	-0.001535	0.002878
2013-09-17	-0.019081	-0.020544
2013-09-16	-0.003285	-0.002154
2013-09-13	-0.003138	-0.008595
2013-09-12	0.004525	0.006397
2013-09-11	0.004516	0.001467
2013-09-10	0.015508	0.011511
2013-09-09	0.027101	0.033889
2013-09-06	-0.000692	0.008275
2013-09-05	-0.007057	-0.002438
2013-09-04	-0.002758	0.002122
2013-09-03	0.015098	0.011753
2013-09-02	0.00501	0.000031
2013-08-30	-0.001462	0.000551
2013-08-29	-0.005435	-0.001939
2013-08-28	-0.009877	-0.001077
2013-08-27	0.000864	0.003383
2013-08-26	0.020608	0.018963
2013-08-23	-0.009553	-0.004676
2013-08-22	0.001087	-0.002816
2013-08-21	0.000186	0.000177
2013-08-20	-0.006175	-0.006237
2013-08-19	0.014402	0.008291
2013-08-16	-0.007387	-0.00645
2013-08-15	-0.012947	-0.008693
2013-08-14	-0.003091	-0.002858
2013-08-13	0.000708	0.002319
2013-08-12	0.025874	0.0239
2013-08-09	0.003833	0.003589
2013-08-08	0.002319	-0.00092
2013-08-07	-0.005777	-0.00666
2013-08-06	0.010266	0.004886
2013-08-05	0.012425	0.010379
2013-08-02	0.003742	0.000173
2013-08-01	0.021427	0.017689
2013-07-31	0.004557	0.001877
2013-07-30	0.008038	0.006961
2013-07-29	-0.02229	-0.017179
2013-07-26	-0.006491	-0.005108
2013-07-25	-0.005197	-0.005978
2013-07-24	-0.003498	-0.00516
2013-07-23	0.03637	0.019511
2013-07-22	0.002641	0.006079
2013-07-19	-0.030399	-0.015196
2013-07-18	-0.019784	-0.010527
2013-07-17	-0.01501	-0.010068
2013-07-16	0.006011	0.003074
2013-07-15	0.015591	0.009759
2013-07-12	-0.021006	-0.016163
2013-07-11	0.04248	0.032301
2013-07-10	0.032995	0.021711
2013-07-09	-0.004865	0.003667
2013-07-08	-0.02787	-0.024375
2013-07-05	0.006724	0.000549
2013-07-04	0.01303	0.005932
2013-07-03	-0.00838	-0.006126
2013-07-02	0.006524	0.005672
2013-07-01	0.003121	0.008102
2013-06-28	0.019901	0.014971
2013-06-27	-0.002916	-0.000759
2013-06-26	0.009513	-0.004089
2013-06-25	-0.012311	-0.001898
2013-06-24	-0.067296	-0.052993
2013-06-21	-0.001404	-0.005243
2013-06-20	-0.032508	-0.027728
2013-06-19	-0.005858	-0.007334
2013-06-18	0.007896	0.001427
2013-06-17	-0.00884	-0.002695
2013-06-14	0.005578	0.00637
2013-06-13	-0.037791	-0.028289
2013-06-07	-0.026384	-0.013921
2013-06-06	-0.015569	-0.012691
2013-06-05	0.002101	-0.000653
2013-06-04	-0.013725	-0.011672
2013-06-03	-0.000724	-0.000584
2013-05-31	-0.012927	-0.007401
2013-05-30	-0.00268	-0.002697
2013-05-29	-0.003949	0.001163
2013-05-28	0.019551	0.012316
2013-05-27	-0.004753	0.001986
2013-05-24	0.004229	0.005654
2013-05-23	-0.01482	-0.011612
2013-05-22	0.000162	-0.001176
2013-05-21	0.010356	0.00223
2013-05-20	0.006584	0.007498
2013-05-17	0.020411	0.013795
2013-05-16	0.021587	0.01214
2013-05-15	0.006898	0.003512
2013-05-14	-0.022764	-0.011111
2013-05-13	-0.00627	-0.002186
2013-05-10	0.002329	0.006207
2013-05-09	-0.002728	-0.005934
2013-05-08	0.005756	0.004797
2013-05-07	0.00287	0.001976
2013-05-06	0.016886	0.011639
2013-05-03	0.014851	0.014431
2013-05-02	0.003085	-0.00174
2013-04-26	-0.009255	-0.009728
2013-04-25	-0.015606	-0.00857
2013-04-24	0.013478	0.015463
