	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
1	6.07	6.7	3.42	13.62	6.34	3.58	10.61	10.89	7.71	7.99	3.22	6.23	3.37	1.14	12.53	6.12	7.07	3.88	11.4	11.25
2	6.44	6.9	3.55	14.08	6.54	3.7	10.78	11.35	7.93	8.8	3.22	6.45	3.48	1.19	12.76	6.07	7.36	3.95	11.79	11.53
3	6.24	6.86	3.53	13.8	6.5	3.79	10.83	11.14	7.84	8.98	3.22	6.39	3.53	1.18	12.9	6.07	7.58	4.06	11.69	11.4
4	6	6.9	3.41	14.15	6.26	3.85	10	10.98	7.8	8.86	3.22	6.2	3.37	1.15	12.69	6.07	7.22	4.02	11.36	11.12
5	6.16	6.89	3.54	14.19	6.41	3.76	10.35	10.99	7.86	9	3.22	6.3	3.43	1.18	13.39	6.09	7.51	4.1	11.59	11.4
6	6.16	6.81	3.66	13.87	6.48	3.71	10.17	10.82	7.64	9.1	3.22	6.32	3.54	1.24	13.22	6.09	7.69	4.1	11.61	11.44
7	5.92	6.57	3.7	13.65	6.42	3.62	9.67	10.38	7.37	8.79	3.22	6.09	3.53	1.2	13.27	6.14	7.32	3.95	11.28	11.08
8	6.38	6.89	3.9	14.02	6.78	3.68	10.17	11.08	7.55	9.11	3.22	6.66	3.71	1.26	14.01	6.12	7.65	4.03	12.41	12.19
9	6.44	6.85	4.13	14.03	6.66	3.61	10.15	11.3	7.46	9.2	3.22	6.55	3.7	1.3	14.1	6.12	7.71	3.97	12.26	12.08
10	6.64	6.92	4.39	14.25	6.75	3.65	9.68	11.34	7.63	9.26	3.22	6.75	3.7	1.42	14.47	6.11	7.74	4.06	12.58	12.31
11	6.94	7.02	4.45	14.78	6.81	3.76	9.22	11.18	7.86	8.94	3.22	6.65	3.64	1.41	14.26	6.1	7.7	4.09	12.49	12.16
12	7.1	6.92	4.8	14.5	6.83	3.74	9.53	11.08	7.72	9.12	3.22	6.84	3.75	1.41	14.78	6.1	7.71	4.28	12.88	12.49
13	7.37	7.1	4.8	14.84	6.74	3.86	9.37	11.37	7.84	9.41	3.22	6.72	3.85	1.37	15.38	6.09	7.66	4.18	12.88	12.32
14	7.37	7.13	5	15.27	6.97	3.94	9.75	11.79	7.8	9.52	3.22	6.73	3.96	1.4	15.38	6.05	7.91	4.27	12.88	12.5
15	7.28	7.04	4.84	15.2	6.83	3.88	9.94	11.77	7.86	9.7	3.22	6.74	4.14	1.32	15.67	6.12	7.85	4.23	12.75	12.42
16	7.28	7.04	5.08	15.2	6.83	3.88	9.94	11.77	7.86	9.7	3.22	6.74	4.35	1.32	15.67	6.12	7.85	4.23	14.03	12.42
17	7.28	7.04	5.08	15.2	6.83	3.88	9.94	11.77	7.86	9.7	3.22	6.74	4.35	1.32	15.67	6.12	7.85	4.23	14.03	12.42
18	7.28	7.04	5.08	15.2	6.83	3.88	9.94	11.77	7.86	9.7	3.22	6.74	4.35	1.32	15.67	6.12	7.85	4.23	14.03	12.42
19	7.28	7.04	5.08	15.2	6.83	3.88	9.94	11.77	7.86	9.7	3.22	6.74	4.35	1.32	15.67	6.12	7.85	4.23	14.03	12.42
20	7.28	7.04	5.08	15.2	6.83	3.88	9.94	11.77	7.86	9.7	3.22	6.74	4.35	1.32	15.67	6.12	7.85	4.23	14.03	12.42
21	7.29	7.01	4.94	14.67	6.91	3.82	9.92	11.96	7.83	9.64	3.22	6.78	4.17	1.36	15.62	6.1	8.16	4.44	12.87	12.52
22	7.47	7.09	5.33	14.64	7.24	3.83	10.31	12.16	7.79	9.73	3.22	7	4.4	1.4	16.17	6.09	8.52	4.66	13.32	12.85
23	8.15	7.26	5.3	15.01	7.36	4.06	10.35	12.2	8.14	9.74	3.22	7.27	4.41	1.42	17.24	6.09	8.56	4.75	14.2	13.4
24	8	7.26	5.29	15	7.23	4.04	9.87	11.77	8.41	9.45	3.55	7.18	4.19	1.36	16.92	6.07	8.36	4.66	13.83	13.05
25	8.24	7.82	5.47	16.29	7.69	4.29	9.98	11.93	8.96	9.65	3.73	7.47	4.61	1.46	17.28	6.07	9.11	4.79	14.73	13.8
26	8.59	7.9	5.52	16.68	7.91	4.36	10.98	12.18	9.25	9.65	3.91	7.57	4.63	1.51	17.41	6.11	10.02	5.03	15.39	14.18
27	8.54	8.14	6.08	16.81	8.31	4.44	11.04	11.92	9.66	9.56	4.11	7.76	4.83	1.62	17.25	6.07	10.89	5.28	16.32	14.93
28	8.62	8	5.99	16.59	8.14	4.44	11.99	12.5	9.53	9.9	4.31	8.15	4.66	1.57	17.79	6.07	10.38	5.2	16.9	15.5
29	8.3	8.12	6.13	17.17	8.01	4.46	12.59	12.22	10.09	10.68	4.53	8.32	4.67	1.63	18.24	6.02	10.09	5.28	18.09	15.59
30	8.51	8.55	6.73	18.28	8.35	4.79	12.48	12.7	10.2	11.65	NA	8.59	5.33	1.67	19.79	5.99	10.32	5.39	20.84	16.16
31	8.97	8.51	6.62	17.9	8.5	4.72	12.41	12.7	10.2	11.55	4.99	8.94	5.14	1.71	19.92	6.09	10.54	5.55	20.84	17.11
32	8.98	8.08	6.1	17.01	8.17	4.51	11.63	12.7	9.35	11.1	5.24	8.36	4.76	1.59	19.1	6.03	10.4	5.27	20.65	16.05
33	8.75	7.59	6.28	16.19	7.63	4.25	11.14	12.7	9.01	11.57	5.5	7.74	4.78	1.48	18.24	6.03	9.8	5.01	18.91	14.74
34	8.41	7.72	6.67	16.65	7.72	4.38	11.77	13.97	9.03	12.43	5.77	7.85	5.07	1.51	18.3	6.06	9.94	5.01	19.95	15.1
35	8.52	7.74	7.11	16.45	7.86	4.53	11.93	14.26	9.09	12.6	3.22	8.06	5.36	1.54	19.22	6.06	10.39	5.07	20.1	15.51
