Stkcd	Trdmnt	Mclsprc
000625	2010-02	12.79
000625	2010-03	12.22
000625	2010-04	11.4
000625	2010-05	10.08
000625	2010-06	8.69
000625	2010-07	10.15
000625	2010-08	10.55
000625	2010-09	10.99
000625	2010-10	12.75
000625	2010-11	11.07
000625	2010-12	9.51
000625	2011-01	9.79
000625	2011-02	9.98
000625	2011-03	9.39
000625	2011-04	9.99
000625	2011-05	8.88
000625	2011-06	9.15
000625	2011-07	4.97
000625	2011-08	4.3
000625	2011-09	4.31
000625	2011-10	4.39
000625	2011-12	3.78
000625	2012-01	4.17
000625	2012-02	4.74
000625	2012-03	4.38
000625	2012-04	4.86
000625	2012-05	5.47
000625	2012-06	4.88
000625	2012-07	5.1
000625	2012-08	4.79
000625	2012-09	5.3
000625	2012-10	5.38
000625	2012-11	5.12
000625	2012-12	6.65
000625	2013-01	8.4
000625	2013-02	8.69
000625	2013-03	9.3
000625	2013-04	10.51
000625	2013-05	10.38
000625	2013-06	9.29
000625	2013-07	8.5
000625	2013-08	10.46
000625	2013-09	10.3
000625	2013-10	11.46
000625	2013-11	11.87
000625	2013-12	11.45
