Stkcd	Trdmnt	Mclsprc
000063	2010-02	46.14
000063	2010-03	42.5
000063	2010-04	37.25
000063	2010-05	35.05
000063	2010-06	19.24
000063	2010-07	22.75
000063	2010-08	24.84
000063	2010-09	24.65
000063	2010-10	27.65
000063	2010-11	26.57
000063	2010-12	27.3
000063	2011-01	26.38
000063	2011-02	32.3
000063	2011-03	30
000063	2011-04	27.58
000063	2011-05	25.99
000063	2011-06	28.28
000063	2011-07	21.62
000063	2011-08	18.65
000063	2011-09	18.9
000063	2011-10	17.81
000063	2011-12	16.9
000063	2012-01	14.8
000063	2012-02	17.15
000063	2012-03	16.43
000063	2012-04	16.82
000063	2012-05	15.27
000063	2012-06	13.96
000063	2012-07	11.41
000063	2012-08	9.92
000063	2012-09	11.16
000063	2012-10	8.28
000063	2012-11	7.75
000063	2012-12	9.75
000063	2013-01	10.89
000063	2013-02	9.8
000063	2013-03	11.2
000063	2013-04	11.34
000063	2013-05	12.63
000063	2013-06	12.75
000063	2013-07	15.39
000063	2013-08	16.4
000063	2013-09	16.6
000063	2013-10	15.18
000063	2013-11	16.3
000063	2013-12	13.07
