"HSI.Open" "HSI.High" "HSI.Low" "HSI.Close" "HSI.Volume" "HSI.Adjusted"
"1989-12-01" 2748 2769 2748 2756.9 0 2756.9
"1989-12-04" 2756 2786 2756 2767.5 0 2767.5
"1989-12-05" 2767 2772 2755 2764.4 0 2764.4
"1989-12-06" 2763 2766 2754 2756.4 0 2756.4
"1989-12-07" 2756 2770 2749 2770 0 2770
"1989-12-08" 2766 2772 2750 2754.1 0 2754.1
"1989-12-11" 2754 2763.3 2735 2763.3 0 2763.3
"1989-12-12" 2763 2811 2763 2809.6 0 2809.6
"1989-12-13" 2819 2860 2819 2851.8 0 2851.8
"1989-12-14" 2856 2878 2856 2876.8 0 2876.8
"1989-12-15" 2876 2900 2865 2896.6 0 2896.6
"1989-12-18" 2896 2902 2887 2900.2 0 2900.2
"1989-12-19" 2899 2899 2867 2879.4 0 2879.4
"1989-12-20" 2879 2879 2861 2868.4 0 2868.4
"1989-12-21" 2868 2878 2858 2867.6 0 2867.6
"1989-12-22" 2868 2921 2868 2921 0 2921
"1989-12-27" 2925 2962 2920 2929.3 0 2929.3
"1989-12-28" 2928 2929 2880 2895.4 0 2895.4
"1989-12-29" 2895 2896 2822 2836.6 0 2836.6
"1990-01-02" 2836 2851 2798 2838.1 0 2838.1
"1990-01-03" 2836 2873 2836 2858.7 0 2858.7
"1990-01-04" 2858 2876 2850 2868 0 2868
"1990-01-05" 2867 2875 2838 2839.9 0 2839.9
"1990-01-08" 2839 2839 2815 2816 0 2816
"1990-01-09" 2816 2838 2816 2822 0 2822
"1990-01-10" 2822 2875 2822 2868 0 2868
"1990-01-11" 2868 2889 2855 2855 0 2855
"1990-01-12" 2855 2855 2832 2835 0 2835
"1990-01-15" 2835 2835 2778 2788.6 0 2788.6
"1990-01-16" 2786 2789 2751 2751.8 0 2751.8
"1990-01-17" 2752 2785 2736 2754.8 0 2754.8
"1990-01-18" 2755 2774 2747 2771.7 0 2771.7
"1990-01-19" 2771 2782 2771 2776.3 0 2776.3
"1990-01-22" 2776 2777 2766 2771.7 0 2771.7
"1990-01-23" 2771 2771 2745 2762.5 0 2762.5
"1990-01-24" 2762 2762 2755 2756.4 0 2756.4
"1990-01-25" 2756 2770 2732 2768.9 0 2768.9
"1990-01-30" 2769 2774 2756 2760.8 0 2760.8
"1990-01-31" 2760 2761 2748 2751.6 0 2751.6
"1990-02-01" 2751 2767 2738 2738.2 0 2738.2
"1990-02-02" 2737 2739 2697 2736.6 0 2736.6
"1990-02-05" 2736 2758 2736 2756.6 0 2756.6
"1990-02-06" 2756 2792 2756 2792 0 2792
"1990-02-07" 2794 2844.8 2793 2844.8 0 2844.8
"1990-02-08" 2844 2910 2844 2903.8 0 2903.8
"1990-02-09" 2906 2912 2879 2893.9 0 2893.9
"1990-02-12" 2892 2900 2885 2894.7 0 2894.7
"1990-02-13" 2894 2894 2851 2863.6 0 2863.6
"1990-02-14" 2862 2882 2862 2870.4 0 2870.4
"1990-02-15" 2872 2910 2870 2910 0 2910
"1990-02-16" 2912 2959 2912 2939.3 0 2939.3
"1990-02-19" 2940 2968 2940 2968 0 2968
"1990-02-20" 2968 2982 2959 2980 0 2980
"1990-02-21" 2974 2974 2862 2862.3 0 2862.3
"1990-02-22" 2862 2931 2862 2927.9 0 2927.9
"1990-02-23" 2927 2927 2863 2894.3 0 2894.3
"1990-02-26" 2881 2883 2838 2872.6 0 2872.6
"1990-02-27" 2872 2932.6 2872 2932.6 0 2932.6
"1990-02-28" 2931 2955 2931 2952 0 2952
"1990-03-01" 2951 2952 2928 2933.1 0 2933.1
"1990-03-02" 2932 2942 2924 2937 0 2937
"1990-03-05" 2937 2949 2925 2938 0 2938
"1990-03-06" 2938 2941 2921 2933 0 2933
"1990-03-07" 2933 2936 2925 2926 0 2926
"1990-03-08" 2926 2927 2906 2915 0 2915
"1990-03-09" 2916 2937 2912 2912 0 2912
"1990-03-12" 2912 2913 2882 2892 0 2892
"1990-03-13" 2892 2898 2877 2887 0 2887
"1990-03-14" 2885 2885 2873 2881 0 2881
"1990-03-15" 2884 2907 2884 2892 0 2892
"1990-03-16" 2893 2906 2869 2886 0 2886
"1990-03-19" 2887 2903 2862 2871 0 2871
